X,Y,Z,Name,LONG,LAT,TAG
-70.99151,7.02085299999998,0,Q2GFD0108,-70.9915,7.02085,Q2GFD0108
-70.991502,7.021003,0,Q2GFD0107,-70.9915,7.021,Q2GFD0107
-70.991505,7.02194700000001,0,Q2GFD0106,-70.9915,7.02195,Q2GFD0106
-70.991843,7.021928,0,Q2GFD0105,-70.9918,7.02193,Q2GFD0105
-70.992046,7.02192400000003,0,Q2GFD0104,-70.992,7.02192,Q2GFD0104
-70.992202,7.02253799999999,0,Q2GFD0103,-70.9922,7.02254,Q2GFD0103
-70.992204,7.02270699999998,0,Q2GFD0102,-70.9922,7.02271,Q2GFD0102
-70.992111,7.02296499999999,0,Q2GFD0101,-70.9921,7.02297,Q2GFD0101
-70.99214,7.023896,0,Q2GFD0100,-70.9921,7.0239,Q2GFD0100
-70.992164,7.02482699999997,0,Q2GFD099,-70.9922,7.02483,Q2GFD099
-70.992201,7.02573799999997,0,Q2GFD098,-70.9922,7.02574,Q2GFD098
-70.992224,7.02662999999999,0,Q2GFD097,-70.9922,7.02663,Q2GFD097
-70.992244,7.027543,0,Q2GFD096,-70.9922,7.02754,Q2GFD096
-70.992279,7.02844899999998,0,Q2GFD095,-70.9923,7.02845,Q2GFD095
-70.992308,7.02935900000001,0,Q2GFD094,-70.9923,7.02936,Q2GFD094
-70.99234,7.03027399999998,0,Q2GFD093,-70.9923,7.03027,Q2GFD093
-70.992368,7.03115899999998,0,Q2GFD092,-70.9924,7.03116,Q2GFD092
-70.992388,7.032075,0,Q2GFD091,-70.9924,7.03207,Q2GFD091
-70.992415,7.03299799999999,0,Q2GFD090,-70.9924,7.033,Q2GFD090
-70.992467,7.033873,0,Q2GFD089,-70.9925,7.03387,Q2GFD089
-70.992493,7.034769,0,Q2GFD088,-70.9925,7.03477,Q2GFD088
-70.992506,7.035724,0,Q2GFD087,-70.9925,7.03572,Q2GFD087
-70.992537,7.03658300000001,0,Q2GFD086,-70.9925,7.03658,Q2GFD086
-70.992569,7.03750299999999,0,Q2GFD085,-70.9926,7.0375,Q2GFD085
-70.992608,7.038418,0,Q2GFD084,-70.9926,7.03842,Q2GFD084
-70.992624,7.03926400000001,0,Q2GFD083,-70.9926,7.03926,Q2GFD083
-70.992668,7.04015499999999,0,Q2GFD082,-70.9927,7.04016,Q2GFD082
-70.992632,7.04046600000003,0,Q2GFD081,-70.9926,7.04047,Q2GFD081
-70.991896,7.04106799999999,0,Q2GFD080,-70.9919,7.04107,Q2GFD080
-70.992153,7.041511,0,Q2GFD079,-70.9922,7.04151,Q2GFD079
-70.992294,7.04171600000001,0,Q2GFD078,-70.9923,7.04172,Q2GFD078
-70.992539,7.042067,0,Q2GFD077,-70.9925,7.04207,Q2GFD077
-70.992709,7.04228800000002,0,Q2GFD076,-70.9927,7.04229,Q2GFD076
-70.992782,7.04245500000001,0,Q2GFD075,-70.9928,7.04246,Q2GFD075
-70.99309,7.042907,0,Q2GFD074,-70.9931,7.04291,Q2GFD074
-70.993186,7.04305400000001,0,Q2GFD073,-70.9932,7.04305,Q2GFD073
-70.993299,7.043209,0,Q2GFD072,-70.9933,7.04321,Q2GFD072
-70.993553,7.04356600000001,0,Q2GFD071,-70.9936,7.04357,Q2GFD071
-70.993907,7.04329000000003,0,Q2GFD070,-70.9939,7.04329,Q2GFD070
-70.994709,7.044219,0,Q2GFD069,-70.9947,7.04422,Q2GFD069
-70.995382,7.04508300000002,0,Q2GFD068,-70.9954,7.04508,Q2GFD068
-70.996034,7.045915,0,Q2GFD067,-70.996,7.04591,Q2GFD067
-70.996754,7.04681700000001,0,Q2GFD066,-70.9968,7.04682,Q2GFD066
-70.997424,7.047653,0,Q2GFD065,-70.9974,7.04765,Q2GFD065
-70.998085,7.04851300000001,0,Q2GFD064,-70.9981,7.04851,Q2GFD064
-70.998745,7.04933900000001,0,Q2GFD063,-70.9987,7.04934,Q2GFD063
-70.999427,7.050206,0,Q2GFD062,-70.9994,7.05021,Q2GFD062
-71.000108,7.05106300000001,0,Q2GFD061,-71.0001,7.05106,Q2GFD061
-71.000767,7.05190899999998,0,Q2GFD060,-71.0008,7.05191,Q2GFD060
-71.001435,7.05273899999999,0,Q2GFD059,-71.0014,7.05274,Q2GFD059
-71.002116,7.05362800000001,0,Q2GFD058,-71.0021,7.05363,Q2GFD058
-71.002801,7.054483,0,Q2GFD057,-71.0028,7.05448,Q2GFD057
-71.003458,7.05531999999999,0,Q2GFD056,-71.0035,7.05532,Q2GFD056
